	date	terminals_p1000	cards_pc	terms_sqrt	terms_lag	terms_cube
1	gru.03	0.340415145	0.395884813	0.583451065	0.340415145	0.69823716
2	mar.04	0.359599579	0.405278361	0.599666223	0.359599579	0.711114812
3	cze.04	0.383898666	0.416344118	0.619595567	0.383898666	0.726784296
4	wrz.04	0.400604094	0.427653076	0.63293293	0.400604094	0.73717703
5	gru.04	0.436748086	0.442814369	0.66086919	0.436748086	0.758712088
6	mar.05	0.450780446	0.476460932	0.671401851	0.450780446	0.766752186
7	cze.05	0.471877251	0.49363919	0.686933222	0.471877251	0.778531783
8	wrz.05	0.501399868	0.510611968	0.708095946	0.501399868	0.794440553
9	gru.05	0.527913977	0.533619716	0.72657689	0.527913977	0.808204108
10	mar.06	0.513723552	0.554773318	0.716745109	0.513723552	0.800896678
11	cze.06	0.52112635	0.574050277	0.721890816	0.52112635	0.804725341
12	wrz.06	0.543782781	0.593149812	0.737416287	0.543782781	0.816222352
13	gru.06	0.569178523	0.624997107	0.754439211	0.569178523	0.82873593
14	mar.07	0.579040075	0.63854264	0.760946828	0.579040075	0.83349476
15	cze.07	0.574002269	0.653615709	0.757629374	0.574002269	0.831070506
16	wrz.07	0.622649451	0.67960733	0.789081397	0.622649451	0.853914792
17	gru.07	0.652906982	0.694972488	0.808026597	0.652906982	0.86752854
18	mar.08	0.671929307	0.71579969	0.819712942	0.671929307	0.875873112
19	cze.08	0.681219691	0.739713888	0.82536034	0.681219691	0.879891382
20	wrz.08	0.693581	0.765183406	0.832815105	0.693581	0.885181637
21	gru.08	0.714589195	0.794305414	0.845333777	0.714589195	0.894030116
22	mar.09	0.724320683	0.814982118	0.851070316	0.724320683	0.89807022
23	cze.09	0.729023913	0.832429836	0.853828972	0.729023913	0.900009841
24	wrz.09	0.738556894	0.851844783	0.859393329	0.738556894	0.903915816
25	gru.09	0.752131685	0.870903188	0.867255259	0.752131685	0.909420266
26	mar.10	0.76785081	0.862727376	0.876270968	0.76785081	0.915712092
27	cze.10	0.792439976	0.847038344	0.890190977	0.792439976	0.925384297
28	wrz.10	0.798712661	0.844087962	0.893707257	0.798712661	0.927819558
29	gru.10	0.811789658	0.841172532	0.900993706	0.811789658	0.932855776
30	mar.11	0.810339966	0.839556912	0.90018885	0.810339966	0.932300148
31	cze.11	0.823705961	0.864000122	0.907582482	0.823705961	0.937398102
32	wrz.11	0.833495287	0.833547173	0.912959631	0.833495287	0.941096987
33	gru.11	0.845081697	0.841898521	0.919283252	0.845081697	0.945437662
34	mar.12	0.85727655	0.84151156	0.925892299	0.85727655	0.949963637
35	cze.12	0.873469457	0.858388492	0.934595879	0.873469457	0.955907585
36	wrz.12	0.885662814	0.871349444	0.941096602	0.885662814	0.960335102
37	gru.12	0.881207018	0.874613622	0.938726274	0.881207018	0.958721902
38	mar.13	0.894027406	0.883922182	0.945530225	0.894027406	0.963348911
39	cze.13	0.913393723	0.903827819	0.95571634	0.913393723	0.970255264
40	wrz.13	0.911614245	0.916831236	0.954784921	0.911614245	0.969624769
41	gru.13	0.9331726	0.910571248	0.966008592	0.9331726	0.977208703
42	mar.14	0.94286854	0.913910821	0.971014181	0.94286854	0.980581544
43	cze.14	0.973134116	0.925149567	0.986475604	0.973134116	0.990963289
44	wrz.14	0.998328326	0.934016032	0.999163813	0.998328326	0.999442464
45	gru.14	1.020083095	0.948733721	1.009991631	1.020083095	1.006650044
46	mar.15	1.029807474	0.935512422	1.014794302	1.029807474	1.009838707
47	cze.15	1.048788399	0.904025626	1.024103705	1.048788399	1.016005264
48	wrz.15	1.065856421	0.91415663	1.032403226	1.065856421	1.021487136
49	gru.15	1.088031813	0.926416897	1.043087634	1.088031813	1.028522661
50	mar.16	1.099997418	0.929792759	1.048807617	1.099997418	1.032279308
51	cze.16	1.117173106	0.941609798	1.056964099	1.117173106	1.037624356
52	wrz.16	1.130887283	0.955809946	1.063431842	1.130887283	1.041852985
53	gru.16	1.149947294	0.971219375	1.072355955	1.149947294	1.047673547
54	mar.17	1.171322303	0.993782023	1.082276445	1.171322303	1.054125059
55	cze.17	1.187595244	0.999062965	1.089768436	1.187595244	1.058984207
56	wrz.17	1.202224164	1.014228597	1.096459832	1.202224164	1.063314699
57	gru.17	1.221898337	1.02957146	1.105395105	1.221898337	1.069083659
58	mar.18	1.236974783	1.040615181	1.112193681	1.236974783	1.073462676
59	cze.18	1.268983021	1.059829574	1.126491465	1.268983021	1.082642995
60	wrz.18	1.291061215	1.06434516	1.136248747	1.291061215	1.088885659
61	gru.18	1.316372114	1.085858806	1.147332608	1.316372114	1.095955426
62	mar.19	1.335852137	1.098921723	1.155790698	1.335852137	1.101335056
63	cze.19	1.352115279	1.110654512	1.162804919	1.352115279	1.105786389
64	wrz.19	1.359135517	1.112316965	1.165819676	1.359135517	1.10769685
65	gru.19	1.37792571	1.13212253	1.173850804	1.37792571	1.11277818
66	mar.20	1.397750292	1.135155075	1.182264899	1.397750292	1.118089401
67	cze.20	1.409518833	1.140954148	1.187231584	1.409518833	1.121218602
68	wrz.20	1.417626854	1.14017421	1.190641362	1.417626854	1.123364366
69	gru.20	1.432472704	1.150615739	1.196859517	1.417626854	1.127272169
